车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
D6409/D6412,动车组,福州,08:19,冠豸山,当天11:58,12:00,长汀南,12:19
D6417/D6420,动车组,福州,18:29,冠豸山,当天22:22,22:29,瑞金,23:08
D6576/D6577,动车组,赣州,08:09,冠豸山,当天09:43,09:45,福州,13:19
D6581,动车组,赣州,07:28,冠豸山,当天09:08,09:10,厦门,11:14
D6582,动车组,厦门,11:47,冠豸山,当天13:54,13:56,赣州,15:25
D6583,动车组,赣州,12:09,冠豸山,当天13:43,13:45,厦门,15:43
D6584,动车组,厦门,16:56,冠豸山,当天18:57,18:59,赣州,20:34
D6675/D6678,动车组,厦门北,07:28,冠豸山,当天08:58,09:00,赣州,10:34
D6676/D6677,动车组,赣州,18:32,冠豸山,当天20:12,20:14,厦门北,21:48
D9621,动车组,福州南,10:12,冠豸山,当天13:36,13:38,长汀南,13:56
D9622,动车组,长汀南,14:16,冠豸山,当天14:33,14:35,福州南,18:05
D9623/D9626,动车组,长汀南,14:16,冠豸山,当天14:33,14:35,福州南,18:05
D9624/D9625,动车组,福州南,10:12,冠豸山,当天13:36,13:38,长汀南,13:56
D9861/D9864,动车组,福州南,11:08,冠豸山,当天14:17,14:19,长汀南,14:38
D9862/D9863,动车组,长汀南,15:12,冠豸山,当天15:29,15:32,福州南,18:55
D9953/D9954,动车组,福州南,12:29,冠豸山,当天15:42,15:44,长汀南,16:02
D9961/D9964,动车组,福州南,08:22,冠豸山,当天11:43,11:46,赣州,13:32
D9962/D9963,动车组,赣州,14:03,冠豸山,当天15:51,15:54,福州南,20:11
D9995/D9998,动车组,福州南,15:00,冠豸山,当天18:15,18:15,冠豸山,18:15
D9996/D9997,动车组,冠豸山,18:35,冠豸山,当天18:35,18:35,福州南,22:04
K334/K335,快速,重庆北,13:20,冠豸山,第2日17:52,17:55,厦门,20:50
K5892,快速,厦门,12:10,冠豸山,当天15:54,15:57,赣州,18:09
K5893,快速,赣州,11:40,冠豸山,当天14:15,14:19,厦门,18:26
