车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1462,普快,上海,12:18,北京,第2日10:46,10:46,北京,10:46
1501/1504,普快,连云港东,17:29,北京,第2日08:15,08:15,北京,08:15
1502/1503,普快,北京,09:15,北京,当天09:15,09:15,连云港东,23:36
2255/2258,普快,丹东,12:47,北京,第2日11:32,11:32,北京,11:32
2256/2257,普快,北京,12:20,北京,当天12:20,12:20,丹东,10:59
2549,普快,北京,22:45,北京,当天22:45,22:45,鞍山,07:19
2559,普快,北京,20:42,北京,当天20:42,20:42,赤峰,07:07
2560,普快,赤峰,19:22,北京,第2日05:00,05:00,北京,05:00
2589/2592,普快,北京,12:44,北京,当天12:44,12:44,松原,05:05
2602/2603,普快,秦皇岛,17:20,北京,当天23:48,00:18,大同,06:31
3277,普快,北京,01:07,北京,当天01:07,01:07,成都,14:03
3278,普快,成都,15:10,北京,第3日16:52,16:52,北京,16:52
3399,普快,北京,01:30,北京,当天01:30,01:30,襄阳,19:30
3400,普快,十堰,23:56,北京,第3日00:30,00:30,北京,00:30
3603,普快,北京,00:52,北京,当天00:52,00:52,重庆北,04:53
3604,普快,重庆北,05:53,北京,第2日17:27,17:27,北京,17:27
4429,普快,北京,13:55,北京,当天13:55,13:55,秦皇岛,21:59
4430,普快,秦皇岛,07:23,北京,当天12:55,12:55,北京,12:55
4497,普快,北京,01:30,北京,当天01:30,01:30,清河城,06:46
4498,普快,衡水,14:12,北京,当天17:45,17:45,北京,17:45
6451,普慢,北京,18:01,北京,当天18:01,18:01,杨村,20:28
6452,普慢,杨村,07:07,北京,当天10:59,10:59,北京,10:59
6461,普快,北京,11:41,北京,当天11:41,11:41,怀柔北,13:30
6462,普快,怀柔北,14:17,北京,当天15:55,15:55,北京,15:55
D1,动车组,北京,18:08,北京,当天18:08,18:08,沈阳,23:21
D10,动车组,沈阳北,08:52,北京,当天13:49,13:49,北京,13:49
D101,动车组,北京,13:49,北京,当天13:49,13:49,哈尔滨西,21:39
D102,动车组,哈尔滨西,10:37,北京,当天18:31,18:31,北京,18:31
D107,动车组,北京,12:45,北京,当天12:45,12:45,沈阳北,17:48
D109,动车组,北京,13:28,北京,当天13:28,13:28,沈阳北,18:25
D11,动车组,北京,12:37,北京,当天12:37,12:37,沈阳北,17:40
D12,动车组,沈阳北,07:09,北京,当天12:17,12:17,北京,12:17
D13,动车组,北京,18:51,北京,当天18:51,18:51,沈阳,23:59
D14,动车组,沈阳,08:22,北京,当天13:28,13:28,北京,13:28
D15,动车组,北京,07:31,北京,当天07:31,07:31,沈阳,12:37
D16,动车组,沈阳,14:32,北京,当天19:37,19:37,北京,19:37
D17,动车组,北京,09:15,北京,当天09:15,09:15,沈阳北,14:14
D18,动车组,沈阳北,15:11,北京,当天20:13,20:13,北京,20:13
D19,动车组,北京,14:18,北京,当天14:18,14:18,长春,20:43
D2,动车组,沈阳,09:19,北京,当天14:08,14:08,北京,14:08
D20,动车组,长春,11:23,北京,当天17:53,17:53,北京,17:53
D21,动车组,北京,07:08,北京,当天07:08,07:08,珲春,17:18
D22,动车组,珲春,12:46,北京,当天22:34,22:34,北京,22:34
D23,动车组,北京,15:33,北京,当天15:33,15:33,长春,22:09
D24,动车组,长春,07:24,北京,当天14:14,14:14,北京,14:14
D27,动车组,北京,15:15,北京,当天15:15,15:15,哈尔滨西,22:55
D28,动车组,哈尔滨西,06:57,北京,当天14:51,14:51,北京,14:51
D3,动车组,北京,18:15,北京,当天18:15,18:15,沈阳北,23:31
D31/D34,动车组,大连,09:06,北京,当天15:12,15:12,北京,15:12
D32/D33,动车组,北京,14:47,北京,当天14:47,14:47,大连,21:04
D35/D38,动车组,大连北,10:28,北京,当天16:52,16:52,北京,16:52
D36/D37,动车组,北京,15:51,北京,当天15:51,15:51,大连北,22:08
D39/D42,动车组,大连北,16:38,北京,当天22:53,22:53,北京,22:53
D4,动车组,沈阳北,07:50,北京,当天12:59,12:59,北京,12:59
D40/D41,动车组,北京,09:50,北京,当天09:50,09:50,大连北,16:05
D43/D46,动车组,大连北,14:38,北京,当天21:14,21:14,北京,21:14
D44/D45,动车组,北京,07:37,北京,当天07:37,07:37,大连北,14:02
D4509,动车组,北京,02:00,北京,当天02:00,02:00,长春西,08:35
D4510,动车组,吉林,16:52,北京,第2日01:39,01:39,北京,01:39
D4515,动车组,北京,09:10,北京,当天09:10,09:10,北戴河,11:12
D4516,动车组,北戴河,11:33,北京,当天13:35,13:35,北京,13:35
D4517,动车组,北京,14:12,北京,当天14:12,14:12,北戴河,16:14
D4518,动车组,北戴河,16:40,北京,当天18:42,18:42,北京,18:42
