车次,列车类型,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终点站,到达时间
1147/1150,普快,连云港东,16:15,开封,当天23:35,23:38,宝鸡,10:36
1148/1149,普快,宝鸡,16:00,开封,第2日03:00,03:02,连云港东,09:52
1303,普快,北京西,22:35,开封,第2日08:33,08:37,郑州,09:23
1487,普快,北京西,11:05,开封,当天21:22,21:28,郑州,22:26
1488,普快,郑州,20:55,开封,当天21:41,21:45,北京西,10:00
1551/1554,普快,太原,19:30,开封,第2日07:06,07:09,连云港东,14:20
1563/1566,普快,郑州,21:30,开封,当天22:16,22:19,青岛北,11:42
1564/1565,普快,青岛,17:22,开封,第2日06:35,06:38,郑州,07:24
2275/2278,普快,郑州,23:52,开封,第2日00:38,00:41,杭州,14:06
2276/2277,普快,杭州,15:31,开封,第2日07:05,07:08,郑州,07:54
2593/2596,普快,郑州,20:40,开封,当天21:26,21:29,杭州,13:20
2594/2595,普快,杭州,15:24,开封,第2日07:53,07:59,郑州,08:45
3188/3189,普快,上海,07:46,开封,当天23:02,23:07,乌鲁木齐南,00:19
3385/3388,普快,吉安,06:19,开封,第2日00:20,00:36,郑州,01:25
3386/3387,普快,郑州,16:00,开封,当天16:46,16:50,东莞东,20:45
3927,普快,商丘,07:33,开封,当天09:17,09:20,乌鲁木齐南,06:18
D257/D260,动车组,济南西,07:36,开封,当天12:10,12:12,郑州,12:48
D258/D259,动车组,郑州,17:20,开封,当天17:56,17:59,济南西,23:00
D271/D274,动车组,郑州,13:54,开封,当天14:28,14:31,杭州东,22:09
D272/D273,动车组,杭州东,07:23,开封,当天13:17,13:20,郑州,13:56
D281/D284,动车组,郑州,14:20,开封,当天14:54,14:57,上海虹桥,22:13
D282/D283,动车组,上海虹桥,06:19,开封,当天12:55,12:57,郑州,13:32
D285/D288,动车组,郑州,15:15,开封,当天15:49,15:52,上海虹桥,23:00
D286/D287,动车组,上海虹桥,07:25,开封,当天13:53,13:55,郑州,14:30
D291/D294,动车组,郑州,09:02,开封,当天09:35,09:37,上海虹桥,15:49
D292/D293,动车组,上海虹桥,16:10,开封,当天22:22,22:25,郑州,23:01
D4665/D4668,动车组,郑州,13:38,开封,当天14:15,14:18,上海,23:27
D4666/D4667,动车组,上海,07:22,开封,当天15:39,15:44,郑州,16:24
K1102/K1103,快速,上海,13:44,开封,第2日03:04,03:10,安阳,07:05
K1142/K1143,快速,南通,08:11,开封,当天20:32,20:37,洛阳,23:35
K1147/K1150,快速,苏州,10:12,开封,当天21:08,21:12,新乡,23:35
K1148/K1149,快速,新乡,17:58,开封,当天20:30,20:40,苏州,08:53
K1160/K1161,快速,广州,08:15,开封,第2日05:42,05:55,烟台,21:36
K1237/K1240,快速,郑州,12:33,开封,当天13:19,13:23,温州,11:57
K1238/K1239,快速,温州,15:10,开封,第2日11:58,12:03,郑州,12:53
K125/K128,快速,长春,13:32,开封,第2日11:52,11:57,西安,20:22
K132/K133,快速,兰州,13:16,开封,第2日07:34,07:44,深圳西,09:30
K1351/K1354,快速,连云港东,16:03,开封,当天23:14,23:17,乌鲁木齐,15:13
K1359/K1362,快速,烟台,16:55,开封,第2日08:08,08:11,郑州,09:01
K1360/K1361,快速,郑州,23:33,开封,第2日00:49,00:52,烟台,14:43
K151/K154,快速,郑州,18:13,开封,当天18:59,19:08,上海,06:41
K152/K153,快速,上海,16:31,开封,第2日06:38,06:41,郑州,07:27
K1537/K1540,快速,南京,14:28,开封,当天23:14,23:17,乌鲁木齐,15:13
K1633/K1636,快速,郑州,21:30,开封,当天22:16,22:19,青岛北,11:41
K1634/K1635,快速,青岛北,17:39,开封,第2日05:57,05:59,郑州,07:15
K1651/K1654,快速,郑州,20:41,开封,当天21:26,21:29,杭州,13:20
K1652/K1653,快速,杭州,15:59,开封,第2日07:38,07:42,郑州,08:28
K175,快速,商丘,17:20,开封,当天19:12,19:16,乌鲁木齐,12:34
K2045/K2048,快速,沈阳北,08:00,开封,第2日06:19,06:23,西安,14:44
K2275/K2278,快速,郑州,23:53,开封,第2日00:38,00:41,杭州,14:06
K2276/K2277,快速,杭州,15:44,开封,第2日05:37,05:47,郑州,06:36
K234/K235,快速,上海,11:10,开封,当天23:55,23:59,石家庄,06:20
K245/K248,快速,扬州,10:33,开封,当天21:59,22:03,成都,23:15
K2502/K2503,快速,商丘,18:18,开封,当天20:02,20:07,银川,19:42
K2666/K2667,快速,苏州,15:30,开封,第2日04:26,04:36,临汾,16:23
K282/K283,快速,上海,20:46,开封,第2日08:20,08:23,成都,11:18
K29/K32,快速,洛阳,13:14,开封,当天16:28,16:31,福州,13:28
K290/K291,快速,上海,08:51,开封,当天20:44,20:47,成都,21:35
K330/K331,快速,洛阳,17:00,开封,当天20:00,20:03,天津,06:14
K359/K362,快速,银川,20:38,开封,第2日18:43,18:48,上海,06:06
K360/K361,快速,上海,09:23,开封,当天21:51,21:56,银川,20:04
K375/K378,快速,西宁,21:05,开封,第2日18:18,18:22,上海,05:24
K376/K377,快速,上海,08:57,开封,当天20:57,21:00,西宁,16:51
K4045/K4048,快速,新乡,07:54,开封,当天10:11,10:15,上海,00:18
K4046/K4047,快速,上海,02:50,开封,当天16:52,16:55,新乡,19:00
K4054,快速,上海,05:10,开封,当天17:19,17:24,郑州,18:20
K4055/K4058,快速,上海,05:10,开封,当天17:19,17:24,郑州,18:20
K4056/K4057,快速,郑州,12:39,开封,当天13:43,13:47,上海,04:18
K4071/K4074,快速,宁波,21:56,开封,第2日17:33,17:39,新乡,20:20
K4072/K4073,快速,安阳,22:34,开封,第2日02:24,02:27,宁波,20:49
K4162,快速,杭州,17:34,开封,第2日09:39,09:43,郑州,10:29
K4164,快速,郑州,22:40,开封,当天23:26,23:43,杭州,16:33
K4168/K4169,快速,上海,03:55,开封,当天17:17,17:22,郑州,18:29
K4185/K4188,快速,西安,12:49,开封,当天22:27,22:32,上海,13:24
K4189/K4192,快速,西安,01:57,开封,当天12:06,12:09,上海,02:00
K4190/K4191,快速,上海,02:58,开封,当天16:40,16:44,西安,01:30
K4246/K4247,快速,昆山,19:55,开封,第2日14:03,14:12,兰州,09:45
K4361/K4364,快速,郑州,11:30,开封,当天12:17,12:20,杭州,05:22
K4362/K4363,快速,杭州,06:24,开封,当天23:43,23:49,郑州,00:35
K4537/K4540,快速,灵宝,16:08,开封,第2日00:26,00:29,上海,15:19
K4665/K4668,快速,乌鲁木齐南,14:43,开封,第3日11:29,11:34,上海,01:31
K4666/K4667,快速,上海,14:43,开封,第2日05:11,05:16,乌鲁木齐南,04:51
K4965/K4968,快速,嘉峪关,03:59,开封,第2日11:29,11:34,上海,01:31
K4966/K4967,快速,上海,14:43,开封,第2日05:11,05:16,嘉峪关,11:20
K5357,快速,商丘,13:21,开封,当天14:48,14:51,洛阳,18:01
K5358,快速,洛阳,07:58,开封,当天10:56,10:59,商丘,12:41
K5361,快速,兰考,10:33,开封,当天11:04,11:09,洛阳,14:10
K5375/K5378,快速,商丘,14:06,开封,当天15:44,15:48,安阳,19:25
K5376,快速,郑州,10:58,开封,当天11:44,11:48,商丘,13:26
K5389,快速,商丘,14:47,开封,当天16:29,16:32,洛阳,20:00
K5390,快速,洛阳,09:30,开封,当天12:16,12:20,商丘,14:05
K557/K560,快速,上海,14:49,开封,第2日03:15,03:18,延安,15:13
K59/K62,快速,南通,17:05,开封,第2日05:29,05:34,西安,13:53
K60/K61,快速,西安,14:16,开封,当天23:13,23:20,南通,11:31
K715/K718,快速,大连,13:36,开封,第2日12:28,12:32,郑州,13:30
K716/K717,快速,郑州,14:55,开封,当天15:41,15:44,大连,15:04
K735/K738,快速,上海,14:06,开封,第2日03:40,03:44,洛阳,07:11
K736/K737,快速,洛阳,19:34,开封,当天22:41,22:44,上海,12:35
